,region_group,income_group,country,category,Location,Wealth,Region,Ethnicity,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,preschool_3_m,preschool_3_no,preschool_1ybefore_m,preschool_1ybefore_no,edu0_prim_m,edu0_prim_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no
122984,Europe and Northern America,High income countries,United States,Sex & Wealth,None,Quintile 1,None,None,0.9798,0.9783,0.87,0.9871,0.9394,0.8279,0.0,0.0,0.0,0.0,0.0,0.0859,428.0,616.0,620.0,2085.0,2085.0,2077.0,0.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122985,Europe and Northern America,High income countries,United States,Sex & Wealth,None,Quintile 2,None,None,1.0,0.9871,0.9259,0.9962,0.9482,0.9143,0.0,0.0,0.0,0.0,0.0,0.0544,503.0,643.0,577.0,2145.0,2145.0,2074.0,0.0,0.0,0.0,0.0,0.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122986,Europe and Northern America,High income countries,United States,Sex & Wealth,None,Quintile 3,None,None,0.9983,0.985,0.938,0.9967,0.9508,0.945,0.0,0.0,0.0,0.0,0.0,0.0552,458.0,592.0,495.0,1891.0,1891.0,1768.0,0.0,0.0,0.0,0.0,0.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122987,Europe and Northern America,High income countries,United States,Sex & Wealth,None,Quintile 4,None,None,0.9946,0.9908,0.9726,0.9967,0.9424,0.9841,0.0,0.0,0.0,0.0,0.0,0.043,445.0,555.0,422.0,1717.0,1717.0,1556.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122988,Europe and Northern America,High income countries,United States,Sex & Wealth,None,Quintile 5,None,None,1.0,0.995,0.9764,0.9989,0.959,0.9871,0.0,0.0,0.0,0.0,0.0,0.0478,377.0,479.0,340.0,1415.0,1415.0,1249.0,0.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122989,Europe and Northern America,High income countries,United States,Sex & Wealth,None,Quintile 1,None,None,0.9817,0.9762,0.8379,0.9817,0.9185,0.8098,0.0,0.0,0.0,0.0,0.0,0.1181,463.0,641.0,583.0,2067.0,2067.0,1701.0,0.0,0.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122990,Europe and Northern America,High income countries,United States,Sex & Wealth,None,Quintile 2,None,None,0.9956,0.9786,0.8711,0.9878,0.9161,0.8662,0.0,0.0,0.0,0.0,0.0,0.0883,524.0,658.0,545.0,2098.0,2098.0,1802.0,0.0,0.0,0.0,0.0,0.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122991,Europe and Northern America,High income countries,United States,Sex & Wealth,None,Quintile 3,None,None,0.988,0.9777,0.9153,0.989,0.9348,0.9194,0.0,0.0,0.0,0.0,0.0,0.0602,504.0,646.0,513.0,2000.0,2000.0,1754.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122992,Europe and Northern America,High income countries,United States,Sex & Wealth,None,Quintile 4,None,None,0.9975,0.9939,0.9506,0.9955,0.9486,0.9534,0.0,0.0,0.0,0.0,0.0,0.0378,502.0,624.0,411.0,1842.0,1842.0,1583.0,0.0,0.0,0.0,0.0,0.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122993,Europe and Northern America,High income countries,United States,Sex & Wealth,None,Quintile 5,None,None,0.9997,0.999,0.9636,0.9967,0.9488,0.9812,0.0,0.0,0.0,0.0,0.0,0.0636,386.0,534.0,419.0,1605.0,1605.0,1436.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
